round,variant,filename,prompt,negative_prompt,score,clip,aesthetic,timestamp
1,1,/root/ai-tools/ComfyUI/output/hexforge-content-engine_part3_r1_v1_00003_.png,cyberpunk homelab hero in front of glowing racks,"low detail, out of focus, boring background, distorted anatomy, plastic look, missing electronics, blurry textures",0.0,0.0,0.0,2025-12-08T20:37:32
1,2,/root/ai-tools/ComfyUI/output/hexforge-content-engine_part3_r1_v2_00003_.png,cyberpunk homelab hero in front of glowing racks,"low detail, out of focus, boring background, distorted anatomy, plastic look, missing electronics, blurry textures",0.0,0.0,0.0,2025-12-08T20:39:42
1,3,/root/ai-tools/ComfyUI/output/hexforge-content-engine_part3_r1_v3_00003_.png,cyberpunk homelab hero in front of glowing racks,"low detail, out of focus, boring background, distorted anatomy, plastic look, missing electronics, blurry textures",0.0,0.0,0.0,2025-12-08T20:42:02
2,1,/root/ai-tools/ComfyUI/output/hexforge-content-engine_part3_r2_v1_00003_.png,cyberpunk homelab hero in front of glowing racks,"low detail, out of focus, boring background, distorted anatomy, plastic look, missing electronics, blurry textures",0.0,0.0,0.0,2025-12-08T20:44:22
2,2,/root/ai-tools/ComfyUI/output/hexforge-content-engine_part3_r2_v2_00002_.png,cyberpunk homelab hero in front of glowing racks,"low detail, out of focus, boring background, distorted anatomy, plastic look, missing electronics, blurry textures",0.0,0.0,0.0,2025-12-08T20:46:46
2,3,/root/ai-tools/ComfyUI/output/hexforge-content-engine_part3_r2_v3_00001_.png,cyberpunk homelab hero in front of glowing racks,"low detail, out of focus, boring background, distorted anatomy, plastic look, missing electronics, blurry textures",0.0,0.0,0.0,2025-12-08T20:49:14
1,1,/root/ai-tools/ComfyUI/output/hexforge-content-engine_part3_r1_v1_00005_.png,cyberpunk homelab hero in front of glowing racks,"low detail, out of focus, boring background, distorted anatomy, plastic look, missing electronics, blurry textures",0.0,0.0,0.0,2025-12-09T17:06:16
1,2,/root/ai-tools/ComfyUI/output/hexforge-content-engine_part3_r1_v2_00005_.png,cyberpunk homelab hero in front of glowing racks,"low detail, out of focus, boring background, distorted anatomy, plastic look, missing electronics, blurry textures",0.0,0.0,0.0,2025-12-09T17:06:16
1,3,/root/ai-tools/ComfyUI/output/hexforge-content-engine_part3_r1_v3_00004_.png,cyberpunk homelab hero in front of glowing racks,"low detail, out of focus, boring background, distorted anatomy, plastic look, missing electronics, blurry textures",0.0,0.0,0.0,2025-12-09T17:06:16
2,1,/root/ai-tools/ComfyUI/output/hexforge-content-engine_part3_r2_v1_00004_.png,cyberpunk homelab hero in front of glowing racks,"low detail, out of focus, boring background, distorted anatomy, plastic look, missing electronics, blurry textures",0.0,0.0,0.0,2025-12-09T17:06:16
2,2,/root/ai-tools/ComfyUI/output/hexforge-content-engine_part3_r2_v2_00003_.png,cyberpunk homelab hero in front of glowing racks,"low detail, out of focus, boring background, distorted anatomy, plastic look, missing electronics, blurry textures",0.0,0.0,0.0,2025-12-09T17:06:16
